Version|5
Timestamp Start|20100914_123322
Timestamp Ende|20100914_123352
Triggernummer|364
Trigger-Timestamp|20100914_123342
DD-Sensor|
Konfiguration|
Triggergrund|ESP-Algorithmus
GPS Start|20100914_123322|51.03397000|13.74831300
GPS Ende|20100914_123351|51.03440500|13.74938300
GPS Trigger|20100914_123342|51.03349800|13.74944100
GPS alt|||
Zeit|Signal|Wert|Einheit
0.15036|Gang_Getriebe|4|---
0.15036|Gang_Wahl|4|---
0.15036|Zusatz_GW_Werkstatt_KL|aus|
0.15036|Zusatz_Gang_Anzeige_KI|m 4|---
0.15107|Airbag_WL|aus|---
0.15107|Airbag_WL_1|aus|---
0.15107|Gurt_VL|gesteckt|---
0.15107|Zusatz_GW_Gurt_WL|aus|
0.15250|ESP_S_1|aktiv|---
0.15250|Motor_n|1626.00000000|1/min
0.15464|GW_ESP_KL|aus|
0.15464|Gaspedal_W|0.00000000|%
0.15464|Zusatz_Kickdown|nicht betaetigt|---
0.15536|Motor_KL|aus|
0.15536|Zusatz_GW_Batterie_WL|aus|
0.15536|Zusatz_GW_KuehlMtemp_WL|aus|
0.15536|Zusatz_GW_Oeldruck_WL|aus|
0.15679|Lenkrad_W_B|3.98580000|°
0.15679|Lenkrad_W_R|links|---
0.15679|Lenkrad_W_v_B|0.00000000|°/s
0.15679|Lenkrad_W_v_R|links|°/s
0.15821|ESP_S_1|aktiv|---
0.15821|Motor_n|1623.00000000|1/min
0.16036|DR_Gierrate|0.24414062|°/s
0.16107|DR_a_x|-0.06000000|g
0.16107|DR_a_y|0.04000000|g
0.16107|DR_a_z|1.01200000|g
0.16250|Blinker_L_S|aus|---
0.16250|Blinker_R_S|aus|---
0.16250|Blinker_Warnblinker_S|aus|---
0.16250|Licht_Abblend_S|an|---
0.16250|Licht_Fern_S|aus|---
0.16250|Licht_Hupe_S|aus|---
0.16250|Licht_Nebelschluss_S|aus|---
0.16250|Licht_Stand_S|an|---
0.16250|Zusatz_GW_Gurt_WL_1|aus|
0.16250|Zusatz_GW_Nebelschluss_KL|aus|
0.16393|ABS_E_1|regelt nicht|---
0.16393|Bremse_Pedal_S_2|nicht betaetigt|---
0.16393|FZ_a_y|0.00780000|g
0.16393|Zusatz_Bremse_Licht_S|nicht aktiv|
0.16464|ABS_E|regelt nicht|---
0.16464|Bremse_Pedal_S|nicht betaetigt|---
0.16607|FZ_Gierrate|0.65500000|°/s
0.16607|FZ_a_y_1|-0.02398000|g
0.16750|ESP_E_1|regelt nicht|---
0.16750|ESP_S|aktiv|
0.16750|Rad_n_HL|381.00000000|1/min
0.16750|Rad_n_HR|380.00000000|1/min
0.16750|Zusatz_Bremse_Moment|0.00000000|
